Segment_ID,RMS_Noisy,RMS_Cleaned,RMS_diff,Correlation,P_Value
0.0,83.3315,59.201,24.130500000000005,0.7831,0.0
1.0,111.0741,59.2177,51.8564,0.5905,2.3480944684452215e-05
2.0,97.5184,97.4918,0.026600000000001955,0.9979,2.286823378541749e-13
3.0,59.1456,8.673,50.4726,0.3356,0.0
4.0,75.6062,71.7123,3.893900000000002,0.9523,0.22203354944240583
5.0,82.3509,82.1593,0.191599999999994,0.9896,7.935112231262366e-10
6.0,91.8591,91.807,0.052099999999995816,0.9986,0.15791081772251903
7.0,51.4921,27.3207,24.171400000000002,0.5976,2.956118431187358e-52
8.0,98.5269,79.5002,19.02669999999999,0.8769,0.004093178506942709
9.0,108.5384,28.7313,79.80709999999999,0.2639,0.7808327116219849
10.0,78.0201,20.3057,57.7144,0.2933,1.7349230845792143e-25
11.0,63.7092,12.5954,51.113800000000005,0.2359,3.2464118879349273e-18
12.0,98.1656,55.4489,42.716699999999996,0.6443,8.95597075650914e-257
13.0,87.7635,67.701,20.0625,0.7906,1.981576144431531e-06
14.0,64.4307,64.2744,0.15630000000000166,0.993,3.343471509092204e-12
15.0,27.9286,5.3173,22.6113,0.2827,5.288685358721191e-255
16.0,40.4361,11.3131,29.123000000000005,0.3328,2.5354141155735508e-21
17.0,31.3689,7.6422,23.7267,0.3971,1.1180120783158821e-63
18.0,33.8077,6.2966,27.5111,0.2743,7.74387446643134e-15
19.0,79.8373,8.1583,71.679,0.2129,2.9499292092141146e-22
20.0,118.7989,12.2096,106.58930000000001,0.1376,0.9954392062949101
21.0,122.9312,71.554,51.3772,0.6098,6.904211947357126e-08
22.0,23.5636,7.2166,16.347,0.4097,0.934409754965951
23.0,62.4296,13.3624,49.0672,0.4447,4.618376454764682e-277
24.0,64.8544,11.9927,52.8617,0.3365,1.1281610215150868e-194
25.0,102.5569,30.4582,72.0987,0.2775,9.837952248471137e-12
26.0,51.2146,12.5603,38.6543,0.4888,3.808629511048739e-31
27.0,86.7071,86.7071,0.0,1.0,
28.0,129.7914,102.1188,27.672600000000017,0.7777,1.856740243829206e-45
29.0,120.6471,76.8138,43.833299999999994,0.6201,2.4175735490760955e-32
30.0,67.1502,10.5316,56.6186,0.2004,2.536340341060056e-33
31.0,19.918,9.5316,10.3864,0.6149,5.360397898145952e-18
32.0,68.6192,36.7316,31.887600000000006,0.6773,0.0008035096869881073
33.0,58.0958,55.6944,2.4013999999999953,0.9729,1.850176081481184e-12
34.0,129.4783,24.2959,105.18239999999999,0.2765,2.124123813021875e-51
35.0,119.6728,119.6728,0.0,1.0,
36.0,54.6567,10.8427,43.814,0.3544,0.0
37.0,54.0409,9.1711,44.8698,0.3699,0.0
38.0,81.7924,13.1125,68.6799,0.3208,0.0
39.0,53.0253,8.4907,44.5346,0.371,4.348994976918373e-285
40.0,102.9482,66.6257,36.322500000000005,0.6384,3.4158008420116136e-08
41.0,56.1124,9.0475,47.0649,0.3184,5.471192064265717e-222
42.0,64.1863,6.2216,57.9647,0.4431,7.425983478581144e-302
43.0,67.7288,23.3754,44.35340000000001,0.5041,3.617980828860697e-44
44.0,76.5825,63.2539,13.328599999999994,0.8744,8.91619262712941e-12
45.0,131.2395,13.9782,117.26129999999999,0.1202,2.3516808529622695e-38
46.0,59.3882,16.6192,42.769,0.4951,3.116879256033645e-49
47.0,75.2829,75.2829,0.0,1.0,
48.0,107.8059,107.8059,0.0,1.0,
49.0,81.2529,22.7357,58.517199999999995,0.2529,1.9452826341344842e-22
50.0,81.311,63.0347,18.276300000000006,0.726,2.1535672058798954e-29
51.0,34.2942,6.4123,27.881899999999995,0.3364,0.0
52.0,119.2057,23.0312,96.1745,0.356,5.0953937338729673e-256
53.0,122.3389,117.8174,4.521499999999989,0.9747,3.579402292186066e-105
54.0,79.3065,16.3062,63.000299999999996,0.3035,1.2907680157027272e-173
55.0,60.9126,57.3779,3.534700000000001,0.9549,4.4231020331909276e-27
56.0,66.2122,51.26,14.952199999999998,0.8433,1.951950673163701e-21
57.0,47.8968,8.9853,38.9115,0.4029,0.0
58.0,69.2367,10.4565,58.7802,0.2655,9.71202428536354e-301
59.0,99.6655,23.6415,76.024,0.2678,0.12098281290771737
60.0,58.2164,13.0986,45.1178,0.3497,1.0706020180062682e-193
61.0,27.1917,9.6633,17.5284,0.4483,5.277898071918506e-306
62.0,59.1846,8.6757,50.508900000000004,0.2568,0.0
63.0,77.9673,12.0459,65.92139999999999,0.2035,4.736040491519819e-33
64.0,74.8617,23.0128,51.8489,0.3628,0.4539958477965168
65.0,63.5043,63.5043,0.0,1.0,
66.0,44.8215,13.9997,30.8218,0.3659,8.097884005221367e-136
67.0,44.8997,13.649,31.250700000000002,0.518,4.5941152455715773e-66
68.0,54.198,50.5141,3.6839000000000013,0.9197,0.009383284758466044
69.0,37.5518,21.0275,16.5243,0.6284,0.0429444270156035
70.0,23.8765,6.55,17.3265,0.5007,0.0
71.0,94.8674,28.8121,66.0553,0.4814,1.2143462162761853e-53
72.0,66.3234,15.8297,50.493700000000004,0.3462,0.0025096738083956968
73.0,47.412,18.6739,28.7381,0.502,0.07076516423329386
74.0,36.6867,36.6867,0.0,1.0,
75.0,68.4839,68.4839,0.0,1.0,
76.0,61.6818,16.1508,45.531000000000006,0.2321,0.14021675419118634
77.0,90.0545,89.5909,0.46359999999999957,0.9882,7.407905453441863e-05
78.0,64.6284,16.3547,48.2737,0.4083,0.0
79.0,65.9834,14.5372,51.446200000000005,0.305,1.7987411051884694e-176
80.0,59.6968,11.1911,48.505700000000004,0.2734,2.82304989182371e-35
81.0,79.7018,36.5045,43.197300000000006,0.4931,0.28773675275618404
82.0,39.0726,13.2371,25.835500000000003,0.4058,6.640510813859429e-80
83.0,38.6806,7.3156,31.365,0.28,3.926246856308921e-218
84.0,33.2866,8.3855,24.9011,0.3788,1.7656637899091744e-207
85.0,32.9767,11.0554,21.921300000000002,0.4735,0.42860115981365543
86.0,81.5434,11.0725,70.4709,0.1518,1.6680769331772904e-35
87.0,28.7752,10.7403,18.0349,0.5419,8.426136709141539e-63
88.0,23.6116,7.2963,16.3153,0.4098,2.2868134295999496e-163
89.0,57.8563,21.8102,36.046099999999996,0.5805,1.4306214156597721e-24
90.0,48.4602,22.2155,26.2447,0.6086,1.3171206321802964e-38
91.0,48.512,44.4811,4.030900000000003,0.9162,2.3978243752537173e-25
92.0,25.9436,9.9235,16.0201,0.5635,1.249473968503207e-169
93.0,62.7909,37.4039,25.387,0.6754,7.123706849028162e-08
94.0,73.997,11.6845,62.3125,0.2914,0.0
95.0,95.3545,90.1067,5.247799999999998,0.9752,0.00011966001864772811
96.0,73.4279,73.1848,0.24309999999999832,0.9855,0.0021795111341040016
97.0,44.6256,10.3258,34.2998,0.42,0.0
98.0,87.7323,14.4883,73.244,0.4995,0.0
99.0,115.9901,92.7755,23.214600000000004,0.8457,1.0994366286470582e-28
100.0,87.6208,83.3529,4.267899999999997,0.9598,2.0671832184486075e-26
101.0,24.1914,11.5466,12.644800000000002,0.5645,3.6830970995031205e-94
102.0,44.2723,23.7336,20.538700000000002,0.6592,1.472915200893261e-18
103.0,57.9523,12.4649,45.4874,0.2154,0.003000538761896408
104.0,33.939,15.1063,18.832700000000003,0.5047,2.3031330402181433e-49
105.0,18.4807,8.6361,9.844599999999998,0.5561,1.149654184073651e-133
106.0,52.0914,11.0369,41.054500000000004,0.3478,1.0275756503869696e-150
107.0,97.5045,21.1531,76.3514,0.417,1.5549550588544703e-17
108.0,114.8854,41.2373,73.6481,0.4635,4.375702026530181e-14
109.0,49.3724,20.1186,29.2538,0.5692,1.5134668023182558e-47
110.0,15.0081,4.445,10.5631,0.4414,6.343494938678167e-79
111.0,37.8525,6.8049,31.0476,0.267,9.095931910942101e-82
112.0,48.5919,40.6087,7.983200000000004,0.8889,9.500406676983216e-28
113.0,11.957,6.8887,5.068300000000001,0.5791,0.00013240474635391742
114.0,47.0231,9.5435,37.4796,0.5119,1.2646153328891427e-235
115.0,69.3531,8.2025,61.1506,0.2349,1.0195275007293911e-46
116.0,80.5812,38.7539,41.827299999999994,0.4618,0.33468804737595836
117.0,46.3146,9.9577,36.356899999999996,0.3479,4.389879698646643e-80
118.0,18.7867,8.4147,10.372,0.558,3.589339732556069e-215
119.0,111.815,11.6421,100.1729,0.2666,1.0167574196231524e-41
120.0,154.4001,37.8947,116.50540000000001,0.3646,3.1651347176046393e-13
121.0,98.3858,9.988,88.3978,0.2166,2.5888822122258534e-204
122.0,37.717,6.6165,31.100499999999997,0.282,0.0
123.0,61.3123,33.077,28.235300000000002,0.6057,0.0015215966690798697
124.0,63.0299,41.8769,21.153,0.713,2.2981377447105793e-30
125.0,116.9833,43.6366,73.3467,0.3711,0.3361172386961181
126.0,68.3781,68.3781,0.0,1.0,
127.0,47.4973,45.9291,1.5682000000000045,0.9409,0.09054782116113132
128.0,35.5277,33.6283,1.8994,0.93,7.406810340531883e-60
129.0,87.1015,24.3334,62.768100000000004,0.3697,0.6238000811200812
130.0,30.7823,7.1788,23.6035,0.3451,1.0111980423968759e-143
131.0,85.8636,18.5978,67.26580000000001,0.345,1.6879241896021514e-149
132.0,85.286,21.8708,63.4152,0.2004,7.941557210932148e-34
133.0,48.6265,48.6265,0.0,1.0,
134.0,33.792,9.4189,24.3731,0.5513,1.1808593716722142e-285
135.0,55.266,7.5413,47.7247,0.3236,9.552780980833974e-70
136.0,67.6987,9.5969,58.101800000000004,0.2102,0.005040573353648806
137.0,46.8495,31.0323,15.8172,0.77,0.10151811112358017
138.0,23.2835,7.5559,15.727599999999999,0.578,4.631964323011285e-272
139.0,142.8656,7.6813,135.1843,0.2411,9.841812639978843e-300
140.0,90.5019,12.9842,77.5177,0.4617,8.814317842783766e-134
141.0,118.5223,102.2673,16.254999999999995,0.8527,7.423477700217645e-22
142.0,69.7288,21.6647,48.06410000000001,0.5915,0.0022596128048370644
143.0,103.8726,21.3358,82.5368,0.5104,2.707983914684644e-106
144.0,50.8562,22.0163,28.8399,0.6503,6.554261110874159e-10
145.0,66.0426,12.1824,53.86019999999999,0.3728,9.482258214659329e-304
146.0,47.6275,9.9338,37.6937,0.269,8.40971888900045e-06
147.0,45.2102,10.6758,34.5344,0.3814,7.206041794621224e-129
148.0,28.2258,9.5958,18.63,0.4765,1.5849557144324278e-61
149.0,156.8508,26.0481,130.8027,0.4557,5.610482139694611e-72
150.0,147.9151,29.6531,118.262,0.3466,0.004246610926717444
151.0,64.3204,17.5093,46.81110000000001,0.4647,1.568471539621656e-45
152.0,35.8782,14.8997,20.9785,0.6483,7.714341877086677e-46
153.0,98.7673,45.3357,53.4316,0.5251,0.01154487740900853
154.0,58.8053,39.814,18.991300000000003,0.7155,4.425391312672654e-06
155.0,26.7096,7.4318,19.2778,0.5258,6.680969359614795e-240
156.0,145.0543,17.8943,127.16000000000001,0.1739,1.2783231055827698e-183
157.0,185.7529,185.7529,0.0,1.0,
158.0,140.1197,135.2605,4.859199999999987,0.9699,1.7795170875535434e-40
159.0,69.646,7.4777,62.1683,0.2131,0.0
160.0,75.7573,46.9625,28.794800000000002,0.7197,2.4537353613085494e-14
161.0,52.0744,36.5394,15.534999999999997,0.8128,0.5555392145980105
162.0,56.9234,23.917,33.0064,0.5398,0.00022368785118704143
163.0,59.0641,14.4547,44.6094,0.4653,1.4315565037446454e-176
164.0,21.5159,8.2542,13.261699999999998,0.5314,8.030366240199623e-147
165.0,56.2491,19.3788,36.8703,0.4276,2.4152280185320123e-12
166.0,90.9547,30.5906,60.36410000000001,0.3417,0.9444634728132545
167.0,55.2366,50.7964,4.440200000000004,0.9524,0.0003553658201979346
168.0,47.305,10.4162,36.8888,0.305,1.132544519206487e-271
169.0,35.5194,7.7939,27.725499999999997,0.2104,2.3526088360213666e-17
170.0,46.723,12.5383,34.1847,0.423,1.6384058792694205e-14
171.0,82.3149,47.2719,35.04299999999999,0.7033,0.4288995319305161
172.0,112.1964,19.5307,92.6657,0.2458,0.052832914484338446
173.0,34.8453,7.4098,27.4355,0.4971,0.0
174.0,80.8763,14.8881,65.9882,0.2992,1.080781345868158e-68
175.0,62.2794,19.7249,42.554500000000004,0.4406,0.2499617722275328
176.0,61.8289,61.8289,0.0,1.0,
177.0,18.6848,5.8707,12.8141,0.3867,5.7016339306573774e-192
178.0,109.0728,13.7345,95.3383,0.2723,5.214664808531937e-55
179.0,105.28,77.4317,27.848299999999995,0.8064,0.019321749897903667
180.0,61.7379,36.8784,24.859500000000004,0.5764,2.877977265574419e-05
181.0,37.1849,8.1174,29.0675,0.4374,1.2411916596223324e-233
182.0,84.1043,56.3337,27.770599999999995,0.7635,0.0956661440055976
183.0,120.055,120.055,0.0,1.0,
184.0,77.574,14.759,62.815,0.2848,1.7577061093058578e-117
185.0,116.1887,65.1639,51.0248,0.4597,0.25748330975357103
186.0,81.7401,46.7093,35.0308,0.742,0.06511390595448566
187.0,142.6734,11.4227,131.2507,0.1891,0.0
188.0,183.8995,46.5049,137.3946,0.3934,9.620950791272877e-143
189.0,71.0448,20.1066,50.938199999999995,0.3695,6.650488448693184e-06
190.0,78.4357,9.5381,68.8976,0.2677,0.0
191.0,73.8525,71.326,2.526500000000013,0.9657,4.951307134210167e-11
192.0,84.348,22.824,61.524,0.399,4.759362184265921e-11
193.0,106.872,42.0738,64.79820000000001,0.4542,1.4262882722154077e-11
194.0,57.6993,8.3913,49.308,0.232,0.0
195.0,117.5827,117.5827,0.0,1.0,
196.0,118.5964,11.7121,106.8843,0.1751,3.982798538780715e-240
197.0,73.4361,10.4803,62.955799999999996,0.1865,1.3930030908734198e-16
198.0,127.4561,17.3956,110.0605,0.1574,1.0242576478084211e-44
199.0,38.5543,7.2981,31.2562,0.3242,0.0
200.0,122.6846,122.6846,0.0,1.0,
201.0,105.5732,105.5732,0.0,1.0,
202.0,39.9345,10.0133,29.9212,0.3373,0.0
203.0,97.8267,15.252,82.5747,0.2473,1.688111404680265e-266
204.0,165.4789,129.8042,35.6747,0.7751,9.185551592452362e-22
205.0,124.4717,117.8993,6.572400000000002,0.9403,1.7621794131848752e-39
206.0,99.1378,99.1378,0.0,1.0,
207.0,37.2657,8.9672,28.298500000000004,0.4623,4.08268833588971e-143
208.0,56.6432,9.264,47.3792,0.2272,0.0001694383901449388
209.0,17.6503,6.0052,11.645100000000001,0.4647,8.73508236166892e-152
210.0,111.1691,77.8148,33.354299999999995,0.8045,1.2456280420560187e-15
211.0,106.5428,44.5567,61.9861,0.5276,1.2115846770186087e-12
212.0,39.5695,9.3228,30.246699999999997,0.3008,1.7560281893230428e-81
213.0,65.2829,11.328,53.954899999999995,0.2779,3.2914919528309185e-51
214.0,171.5069,26.0359,145.471,0.167,0.05500921303683074
215.0,38.7952,6.134,32.6612,0.2246,3.474605474147506e-32
216.0,242.4688,16.1149,226.35389999999998,0.1302,1.4035629450388827e-120
217.0,155.1697,9.2852,145.8845,0.0746,1.3222272028151151e-24
218.0,51.6578,12.8711,38.7867,0.2624,2.0962143792632797e-31
219.0,31.0387,8.4824,22.5563,0.4345,4.26600777530364e-12
220.0,67.1065,11.5105,55.596,0.1926,9.757715760852204e-37
221.0,94.1546,27.0083,67.1463,0.3701,2.095887294574274e-11
222.0,20.4098,8.8936,11.516200000000001,0.6063,7.732731038150018e-226
223.0,47.735,9.6052,38.1298,0.6314,0.004567230715817669
224.0,42.9012,42.7233,0.17790000000000106,0.9799,5.830439612597904e-10
225.0,36.1612,14.0601,22.101100000000002,0.6731,1.7596003672736854e-05
226.0,8.1915,8.1915,0.0,1.0,
227.0,129.7685,129.7685,0.0,1.0,
228.0,101.8404,49.9924,51.848,0.6466,0.2370197268114953
229.0,94.4149,28.9937,65.4212,0.335,0.07798699362279232
230.0,21.4181,6.8352,14.582899999999999,0.4463,1.1575728886574373e-184
